Cattle_ID,Breed,Climate_Zone,Management_System,Age_Months,Weight_kg,Parity,Lactation_Stage,Days_in_Milk,Feed_Type,Feed_Quantity_kg,Feeding_Frequency,Water_Intake_L,Walking_Distance_km,Grazing_Duration_hrs,Rumination_Time_hrs,Resting_Hours,Ambient_Temperature_C,Humidity_percent,Housing_Score,FMD_Vaccine,Brucellosis_Vaccine,HS_Vaccine,BQ_Vaccine,Anthrax_Vaccine,IBR_Vaccine,BVD_Vaccine,Rabies_Vaccine,Previous_Week_Avg_Yield,Body_Condition_Score,Milking_Interval_hrs,Date,Farm_ID,Feed_Quantity_lb,Mastitis,Milk_Yield_L
CATTLE_204377,Jersey,Subtropical,Extensive,74,683.9,4,Mid,361,Green_Fodder,6.978618077407798,3,84.12613295158539,3.97,1.2,-3.181261443407358,11.1,25.196168829876616,45.8,0.574648854191312,1,0,1,1,0,1,1,1,5.43,3.5,12,2022-09-23,FARM_0364,15.6555,0,16.02168240171715
CATTLE_192073,Holstein,Tropical,Mixed,35,277.8,3,Mid,41,Hay,4.705997743504633,3,71.52931081922871,2.64,3.1,-2.59060378127635,14.0,29.28679720197706,58.5,0.3370930107134508,1,1,1,1,0,1,0,1,6.0,4.0,12,2023-08-30,FARM_0772,10.584,0,14.472871680607076
CATTLE_162884,Guernsey,Mediterranean,Semi_Intensive,141,306.4,6,Late,290,Concentrates,11.523062483910104,5,49.82150751710402,2.8,5.9,-3.89626808703963,12.4,22.678936115917217,85.1,0.6094722560844679,1,0,1,0,1,1,1,0,4.74,2.5,12,2024-06-24,FARM_0352,26.019,0,7.534185298633855
CATTLE_234178,Jersey,Subtropical,Pastoral,84,324.2,2,Early,162,Crop_Residues,12.009250030443916,2,76.05155305339949,5.23,9.2,11.046334523362356,10.9,11.400802495558413,100.0,0.3369394592970788,0,1,1,0,1,0,1,0,19.16,2.5,8,2022-02-26,FARM_0022,27.1215,0,18.867779252082588
CATTLE_217363,Holstein,Temperate,Mixed,140,653.8,6,Early,239,Crop_Residues,11.845165014410185,4,78.31808966838757,5.44,3.0,-8.134495873207737,7.7,10.811126850313478,33.2,0.778632900888259,1,1,1,1,1,1,1,0,0.65,2.0,6,2023-11-03,FARM_0295,24.916500000000003,0,16.59951036692443
CATTLE_237091,Holstein,Arid,Semi_Intensive,68,301.2,6,Late,319,Green_Fodder,10.884970163339071,3,100.24157495994592,4.74,4.5,4.95323442980038,13.1,15.16605655578306,65.4,0.4875533754376419,1,1,1,1,1,1,0,1,13.28,3.5,8,2023-03-28,FARM_0389,23.1525,0,20.98691485813628
CATTLE_158320,Holstein,Tropical,Pastoral,41,652.7,2,Mid,325,Concentrates,9.675272627184638,1,52.232624628016886,7.34,6.1,-5.626791412932231,10.8,6.32000732258567,72.8,0.8177923920672333,1,0,1,0,0,0,1,1,3.07,4.5,12,2023-02-10,FARM_0653,21.609,0,17.635158642845223
CATTLE_060657,Brown Swiss,Continental,Semi_Intensive,103,572.8,6,Late,119,Dry_Fodder,12.372003222365873,1,55.58957611173487,4.62,12.8,-8.55935489333706,7.3,31.23203259514687,48.2,,0,0,0,0,0,0,1,1,0.24,3.0,8,2022-02-05,FARM_0235,27.783,0,9.22965076997169
CATTLE_039595,Jersey,Temperate,Semi_Intensive,52,429.9,3,Early,336,Mixed_Feed,18.849667991672167,1,73.65228982057897,4.78,7.4,1.367838796513913,11.2,5.0212441179145255,56.4,0.9944960305496428,1,0,1,1,0,1,1,1,9.82,3.5,12,2022-11-09,FARM_0024,41.6745,0,22.70648843971247
CATTLE_175070,Holstein,Continental,Intensive,63,560.1,3,Late,220,Crop_Residues,12.009016002782776,1,75.21058540647276,5.07,7.0,4.68381163654764,8.1,10.544335899418844,90.3,0.6135223415922814,1,0,1,0,0,1,0,1,13.02,5.0,12,2024-01-22,FARM_0474,26.6805,0,19.92541591705177
